BPI_Challenge_2012_W_Two_TS,DDPS,665889.3235216204,668389.2701776463,0.006406750783819543,0.006441520077503546
BPI_Challenge_2012_W_Two_TS_2,DDPS,694083.1291399514,695033.1940619154,0.0046556030522855755,0.004706179207643998
ConsultaDataMining201618,DDPS,271536.7745980361,278035.50578295847,0.015559589552457313,0.01591763568093611
ConsultaDataMining201618,LSTM,343422.8524047714,343618.76704274246,0.0382025464362773,0.038401146013027375
ConsultaDataMining201618,DSIM,228349.10896912485,233494.05920767068,0.012021169590698788,0.012655546316336452
PurchasingExample,DDPS,2109665.226118561,2145058.755126587,0.0069945028146395005,0.0070651235067293655
confidential_1000,DDPS,51509.793112599385,59444.932500482384,0.0010393698073718365,0.0012751909317894796
confidential_1000,LSTM,32377.33792940512,33132.658711601165,0.014340748401324602,0.01437752986465482
confidential_1000,DSIM,35796.5487563856,36878.631358331375,0.012637384628866596,0.012747281841878191
cvs_pharmacy,DDPS,1061300.3930440368,1062613.6176348832,0.000928101968142297,0.0009426941985763871
cvs_pharmacy,LSTM,637616.4948349752,639714.1758254588,0.0023715194740104723,0.002374260312305158
cvs_pharmacy,DSIM,136104.7903774121,139168.0743516679,0.006588571260834393,0.006597774635127829
BPI_Challenge_2017_W_Two_TS,DDPS,949997.5882059924,955007.5218073988,0.00488032676776757,0.004901309604110184
BPI_Challenge_2017_W_Two_TS,LSTM,653898.7160667595,861585.7914474916,0.00446514544777376,0.004499808847815021
BPI_Challenge_2017_W_Two_TS,DSIM,416631.966204859,418650.039281408,0.007282326440057477,0.007401925611567507
Productions,DDPS,305339.4617100619,315691.21568139095,0.014629359540757099,0.015547363676956768
SynLoan,DDPS,2295579.1868989007,2296015.5700080995,0.007988535853885636,0.00800278538036162
SynLoan,LSTM,1446177.3850754362,1463812.8933861025,0.019244729076867508,0.019287542334377697
SynLoan,DSIM,1635297.8407141673,1714775.755085833,0.004690057692481548,0.004773938498285846
confidential_2000,DDPS,179570.28237790964,289471.15505048545,0.0010568189551301164,0.0011397540266424465
confidential_2000,LSTM,37063.457873944804,37625.43343049963,0.009916411775443897,0.009937679798570864
confidential_2000,DSIM,7309.668761438581,8882.108094116975,0.008959465874499296,0.008994550076335182
